name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2008 GULF STREAM CRESCENDO 40K,/rvdetails/used-class-a-diesel-rvs/2008-gulf-stream-crescendo-40k-front-living-70k-TUL2191934,"

Tulsa,OK
",2191934,Used,7,-,12689,79699,-
2018 THOR COMPASS 23TK,/rvdetails/used-class-c-rvs/2018-thor-compass-23tk-front-living-80k-FRV2177027P,"

Burlington,WA
",2177027P,Used,4,1,-,80499,-
2017 THOR COMPASS 23TB,/rvdetails/used-class-c-rvs/2017-thor-compass-23tb-front-living-80k-CNC2177283,"

Concord,NC
",2177283,Used,4,1,30221,80499,-
2013 FLEETWOOD EXCURSION 35B,/rvdetails/used-class-a-diesel-rvs/2013-fleetwood-excursion-35b-front-living-80k-NAS2136386,"

Nashville,TN
",2136386,Used,2,2,25653,80999,-
2020 WINNEBAGO VITA 24P,/rvdetails/used-class-c-rvs/2020-winnebago-vita-24p-front-living-80k-ABRV2150644,"

Draper,UT
",2150644,Used,5,1,70600,80999,-
2014 RENEGADE VILLAGIO 25TBS,/rvdetails/used-class-c-rvs/2014-renegade-villagio-25tbs-front-living-80k-CLB2203917,"

Alvarado,TX
",2203917,Used,3,1,53637,81099,-
2017 THOR CHATEAU CITATION 24SS,/rvdetails/used-class-c-rvs/2017-thor-chateau-citation-24ss-front-living-80k-SW1000616P,"

NewBraunfels,TX
",1000616P,Used,5,2,9947,81599,-
2014 ITASCA NAVION 24V,/rvdetails/used-class-c-rvs/2014-itasca-navion-24v-front-living-80k-DCW2184926,"

Bartow,FL
",2184926,Used,4,1,29287,82599,-
2016 THOR SYNERGY SP24,/rvdetails/used-class-c-rvs/2016-thor-synergy-sp24-front-living-80k-MAD2152370,"

Deforest,WI
",2152370,Used,5,2,43985,81999,-
name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2013 ITASCA NAVION 24G,/rvdetails/used-class-c-rvs/2013-itasca-navion-24g-front-living-80k-CWY1158CWY,"

Cheyenne,WY
",1158CWY,Used,4,2,-,83999,-
2017 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2017-thor-gemini-23tr-front-living-80k-CFX2189847,"

Colfax,NC
",2189847,Used,4,1,7240,84999,-
2016 THOR FOUR WINDS SIESTA 24SR,/rvdetails/used-class-c-rvs/2016-thor-four-winds-siesta-24sr-front-living-80k-SYU2155789,"

Syracuse,NY
",2155789,Used,5,2,21970,84999,-
2019 FLEETWOOD PULSE 24B,/rvdetails/used-class-c-rvs/2019-fleetwood-pulse-24b-front-living-80k-EMI2119667P,"

Escanaba,MI
",2119667P,Used,5,1,6507,85999,-
2007 COACHMEN SPORTCOACH ELITE 40QS,/rvdetails/used-class-a-diesel-rvs/2007-coachmen-sportcoach-elite-40qs-front-living-80k-ANA2142365,"

Anniston,AL
",2142365,Used,6,-,48825,85999,-
2016 THOR COMPASS 23TR,/rvdetails/used-class-c-rvs/2016-thor-compass-23tr-front-living-80k-KIN2192578,"

Kingston,NY
",2192578,Used,4,1,28319,86499,-
2018 TIFFIN WAYFARER 24FW,/rvdetails/used-class-c-rvs/2018-tiffin-wayfarer-24fw-front-living-80k-KAT2149861,"

Katy,TX
",2149861,Used,4,1,16025,85999,-
2018 THOR FOUR WINDS SIESTA 24SJ,/rvdetails/used-class-c-rvs/2018-thor-four-winds-siesta-24sj-front-living-80k-FTP2171054,"

FortPierce,FL
",2171054,Used,5,1,7518,85999,-
2018 THOR GEMINI 23TB,/rvdetails/used-class-c-rvs/2018-thor-gemini-23tb-front-living-80k-GB2185088,"

GulfBreeze,FL
",2185088,Used,4,1,52009,87499,-
2018 COACHMEN PRISM 2200LE,/rvdetails/used-class-c-rvs/2018-coachmen-prism-2200le-rear-bath-80k-RED2177567P,"

Anderson,CA
",2177567P,Used,4,1,9363,86999,-
2016 THOR FOUR WINDS SIESTA 24SL,/rvdetails/used-class-c-rvs/2016-thor-four-winds-siesta-24sl-front-living-80k-FWT2183262,"

FortWorth,TX
",2183262,Used,4,1,8404,86999,-
2017 FOREST RIVER FORESTER MBS 2401S,/rvdetails/used-class-c-rvs/2017-forest-river-forester-mbs-2401s-front-living-80k-TVA2195548,"

Thornburg,VA
",2195548,Used,5,1,18830,87999,-
2017 FOREST RIVER FORESTER MBS 2401S,/rvdetails/used-class-c-rvs/2017-forest-river-forester-mbs-2401s-front-living-80k-TVA2198178,"

Thornburg,VA
",2198178,Used,5,1,44740,87999,-
